10;1
20;2
30;1
40;1
50;2
60;2
70;3
80;2
90;1
100;1
110;1
120;2
130;2
140;1
150;2
160;1
170;1
180;2
190;1
200;2
210;1
220;2
230;1
240;2
250;2
260;2
270;3
280;1
290;2
300;2
310;2
320;2
330;2
340;1
350;3
360;2
370;3
380;3
390;3
400;7
410;4
420;4
430;5
440;3
450;6
460;4
470;3
480;2
490;3
500;3
510;3
520;1
530;1
540;2
550;1
560;3
570;1
580;4
590;2
600;3
610;2
620;1
630;2
640;1
650;2
660;2
670;2
680;1
690;2
700;3
710;1
720;2
730;3
740;2
750;1
760;3
770;1
780;2
790;1
800;1
810;3
820;3
830;2
840;2
850;1
860;2
870;2
880;3
890;2
900;2
910;1
920;3
930;2
940;2
950;2
960;1
970;4
980;3
990;4
1000;3
1010;4
1020;4
1030;4
1040;4
1050;5
1060;4
1070;4
1080;2
1090;3
1100;2
1110;1
1120;2
1130;2
1140;1
1150;2
1160;2
1170;2
1180;2
1190;3
1200;1
1210;3
1220;1
1230;3
1240;3
1250;1
1260;2
1270;3
1280;1
1290;1
1300;2
1310;2
1320;1
1330;1
1340;4
1350;1
1360;2
1370;3
1380;2
1390;1
1400;3
1410;1
1420;3
1430;1
