10;1
20;3
30;3
40;2
50;1
60;2
70;2
80;2
90;2
100;1
110;2
120;4
130;2
140;1
150;2
160;2
170;3
180;2
190;3
200;3
210;1
220;4
230;1
240;2
250;2
260;3
270;1
280;2
290;2
300;1
310;1
320;1
330;2
340;1
350;3
360;3
370;2
380;3
390;2
400;2
410;3
420;2
430;2
440;2
450;2
460;2
470;1
480;3
490;2
500;2
510;1
520;2
530;2
540;1
550;2
560;3
570;2
580;2
590;3
600;2
610;2
620;2
630;2
640;2
650;1
660;2
670;2
680;3
690;3
700;1
710;2
720;2
730;2
740;3
750;2
760;1
770;2
780;3
790;2
800;2
810;3
820;2
830;2
840;1
850;3
860;2
870;1
880;1
890;1
900;3
910;1
920;4
930;2
940;1
950;3
960;2
970;2
980;3
990;2
